x_sgp4_km,y_sgp4_km,z_sgp4_km,x_horizons_km,y_horizons_km,z_horizons_km,err_x_pred,err_y_pred,err_z_pred
1241.694361251048,4453.548376163378,-4987.14754328747,1237.760309787452,4456.188233592208,-4985.763369038339,-3.2823606,3.386064,1.9989365
-622.0172127755923,5409.115783816189,-4074.2304531990594,-626.0279261994947,5410.534657193003,-4071.724472809482,-3.4003384,1.8735273,2.5746205
-2415.4628364977784,5754.14103511539,-2700.1877639686268,-2419.0976135435462,5754.176387108801,-2696.8422037718447,-3.2044268,0.20549676,3.1889415
-3935.765822697025,5448.61406115984,-1020.049687833878,-3938.6131326110935,5447.259063708692,-1016.2424909843528,-2.7600546,-1.1016095,3.4782546
-5010.406457940962,4526.176199069387,775.8729009885509,-5012.1424855421865,4523.582187563832,779.7096740860466,-1.8251761,-2.5882833,3.2506626
-5517.2261423424015,3090.8116071290888,2483.6053353837974,-5517.653293533476,3087.2714293197528,2487.0359136851466,-0.81432277,-3.7005284,2.7645226
-5398.688187696516,1305.108056434489,3909.0396413202775,-5397.75778076782,1301.0231751149092,3911.6741021201456,0.22882186,-3.9214945,1.7993233
-4668.43801133862,-628.4912301099131,4890.309449745074,-4666.255686285921,-632.657875392141,4891.8493092653425,1.4921631,-4.0662737,0.4631921
-3409.4696671064917,-2490.9258824241747,5316.173916305455,-3406.282975027068,-2494.701893430235,5316.445183324708,2.4860668,-3.6436343,-0.61746615
-1764.458088103558,-4071.317583345711,5138.392794358186,-1760.627619622495,-4074.275395720112,5137.365520653144,2.91782,-3.0054612,-0.9394593
80.36788179541695,-5190.602227539875,4377.01866426794,84.40833139615762,-5192.406302169114,4374.810094602581,3.280776,-1.9330015,-1.82932
1916.0597741773552,-5721.667848634589,3118.2380259352553,1919.852552491055,-5722.1134170771065,3115.099588708331,3.3847947,-0.626131,-2.683023
3534.4713036275516,-5603.950943936974,1504.8886080068312,3537.5866118510257,-5602.987599916864,1501.1777000634438,2.7924309,0.8694434,-3.1861823
4752.040070074796,-4850.687974805809,-279.6218143406343,4754.12539166701,-4848.425832736615,-283.48282094661016,1.987913,2.5796154,-3.1825168
5430.996231501931,-3547.59566990291,-2032.3848823525636,5431.816662537969,-3544.292386793658,-2035.9574644935724,1.0114244,3.6239686,-2.931505
5495.18476782619,-1842.8747384055232,-3554.4890683419303,5494.649147154169,-1838.905959996038,-3557.368222230315,-0.21787657,4.3164983,-2.090511
4938.416422413536,70.15297806928997,-4673.850978341967,4936.586644097811,74.3382168222125,-4675.71198087648,-1.337058,4.679292,-1.0250579
3824.53298614118,1975.320678306842,-5264.493342868752,3821.61566993569,1979.249701565789,-5265.12635951444,-2.2793202,4.4489603,0.14288685
2279.658648787098,3657.914613205171,-5260.210416516316,2275.9810595997033,3661.144114108092,-5259.543131730661,-2.833632,3.8946087,1.1480877
477.937246253891,4928.334341136408,-4661.543059855949,473.9121802667483,4930.497779336585,-4659.648179078061,-3.3060093,2.5838625,2.1597698
-1377.6347946913668,5642.931664349352,-3535.693995257065,-1381.554273463415,5643.780524413601,-3532.782039661385,-3.2685723,1.1695992,2.7366302
-3077.543642464347,5720.153445340361,-2009.4019316686383,-3080.9140408313388,5719.585871889595,-2005.7990226636591,-2.8972316,-0.4999904,3.2002184
-4429.225196774393,5150.22722095898,-255.17684341047803,-4431.662193138646,5148.301546771569,-251.28988470162216,-2.3595061,-1.4860034,3.2912405
-5279.147388096246,3996.9017259323305,1528.0072545524256,-5280.371501619483,3993.8316018898904,1531.737337535934,-1.278487,-3.0589201,2.940709
-5530.703401627791,2390.551811273135,3137.505755800172,-5530.572707877013,2386.683082176492,3140.6541478517925,-0.4044522,-3.6886632,2.4101083
-5155.438271060327,513.2564127884484,4390.419805220208,-5153.965542034999,509.0266361177629,4392.628109533598,0.87844414,-3.8413777,1.1542923
-4196.145302552063,-1422.2002646515837,5144.574662950797,-4193.496367954165,-1426.3115253289334,5145.591468576949,2.0005667,-3.8501256,-0.026058853
-2761.692466983406,-3196.619842961858,5314.525979545641,-2758.166511922006,-3200.1468324547004,5314.235732293538,2.8073864,-3.2512991,-0.80952615
-1014.5350169637416,-4609.070142637105,4880.992115335657,-1010.5310766874276,-4611.612674926316,4879.427648051363,3.0456548,-2.5311787,-1.2521081
847.5256474118364,-5499.390905632639,3892.9775409871286,851.554211861709,-5500.6603038194335,3890.3164702613417,3.271254,-1.2788987,-2.0551074
2613.4908326875375,-5766.327053210103,2462.4408016238817,2617.087607412653,-5766.178915211152,2458.9854187741585,3.2580671,-0.042222388,-2.9322531
4083.0568704413568,-5379.319460744023,751.8587961325056,4085.813773439162,-5377.77053410344,748.0024326886967,2.449746,1.502119,-3.2204506
5089.636704821679,-4382.320087417735,-1044.2413431774698,5091.241555936438,-4379.54669056179,-1048.059982622452,1.6279157,2.9261818,-3.1361294
5519.614075247878,-2888.804487031612,-2721.74833782169,5519.885934631734,-2885.1215990441856,-2725.095746664076,0.4888022,3.7644453,-2.6560347
5325.236902962222,-1068.4606373487604,-4090.564337657171,5324.145531701039,-1064.2850648023425,-4093.0614004087392,-0.800546,4.332297,-1.6678016
4529.557234310063,872.5895550466403,-4996.233535933182,4527.225525788883,876.7857613175543,-4997.597057610147,-1.8100533,4.3490105,-0.53173786
3223.1696942937824,2715.3007221661114,-5337.015084091524,3219.8586982095276,2719.044127119623,-5337.089238074156,-2.4640708,4.072336,0.5273231
1553.6289849306977,4252.086572977608,-5074.772203358427,1549.709564254927,4254.952947874837,-5073.544747229204,-2.9308562,3.2077565,1.4637208
