x_sgp4_km,y_sgp4_km,z_sgp4_km,x_horizons_km,y_horizons_km,z_horizons_km,err_x_pred,err_y_pred,err_z_pred
1241.694361251048,4453.548376163378,-4987.14754328747,1237.760309787452,4456.188233592208,-4985.763369038339,-1.5058604,1.7196784,1.42951
-622.0172127755923,5409.115783816189,-4074.2304531990594,-626.0279261994947,5410.534657193003,-4071.724472809482,-1.8970112,0.84275234,1.9156897
-2415.4628364977784,5754.14103511539,-2700.1877639686268,-2419.0976135435462,5754.176387108801,-2696.8422037718447,-1.9061931,-0.17286932,2.2813392
-3935.765822697025,5448.61406115984,-1020.049687833878,-3938.6131326110935,5447.259063708692,-1016.2424909843528,-1.5076046,-1.3755177,2.4423647
-5010.406457940962,4526.176199069387,775.8729009885509,-5012.1424855421865,4523.582187563832,779.7096740860466,-0.8518618,-2.3087626,2.2782505
-5517.2261423424015,3090.8116071290888,2483.6053353837974,-5517.653293533476,3087.2714293197528,2487.0359136851466,-0.23791555,-3.1503625,1.6869485
-5398.688187696516,1305.108056434489,3909.0396413202775,-5397.75778076782,1301.0231751149092,3911.6741021201456,0.46436012,-3.6092455,0.923214
-4668.43801133862,-628.4912301099131,4890.309449745074,-4666.255686285921,-632.657875392141,4891.8493092653425,0.995006,-3.497145,-0.18169905
-3409.4696671064917,-2490.9258824241747,5316.173916305455,-3406.282975027068,-2494.701893430235,5316.445183324708,1.2787335,-3.2165923,-0.82679266
-1764.458088103558,-4071.317583345711,5138.392794358186,-1760.627619622495,-4074.275395720112,5137.365520653144,1.4638721,-2.6326866,-1.1968904
80.36788179541695,-5190.602227539875,4377.01866426794,84.40833139615762,-5192.406302169114,4374.810094602581,1.7255269,-1.3486705,-1.8041766
1916.0597741773552,-5721.667848634589,3118.2380259352553,1919.852552491055,-5722.1134170771065,3115.099588708331,1.7759829,0.26134577,-2.4365659
3534.4713036275516,-5603.950943936974,1504.8886080068312,3537.5866118510257,-5602.987599916864,1501.1777000634438,1.6107435,1.729798,-2.6259391
